name,area,steel_norm,concrete_norm,rebar_norm,max_depth,slab_type,slab_sizer,beam_sizer,collinear,vector_1d_x,vector_1d_y,sections,ids
r1c1,0.0,0.0,0.0,0.0,25.0,isotropic,cellular,discrete,false,0.0,0.0,Any[],Any[]
r1c1,0.0,0.0,0.0,0.0,25.0,isotropic,cellular,discrete,true,0.0,0.0,Any[],Any[]
r1c1,0.0,0.0,0.0,0.0,25.0,isotropic,cellular,continuous,false,0.0,0.0,Any[],Any[]
r1c1,0.0,0.0,0.0,0.0,25.0,isotropic,cellular,continuous,true,0.0,0.0,Any[],Any[]
r1c2,479.6808080808081,43.940673445599366,660.0,22.89583333333334,25.0,isotropic,cellular,discrete,false,0.0,0.0,"Any[""W12X120"", ""W14X61"", ""W14X61"", ""W14X61"", ""W14X61"", ""W10X19"", ""W14X90"", ""W12X152"", ""W12X22"", ""W12X120"", ""W14X34"", ""W14X68"", ""W10X19"", ""W14X90"", ""W14X61"", ""W12X120"", ""W8X21"", ""W12X152"", ""W12X50"", ""W14X68"", ""W10X19"", ""W14X61"", ""W12X58"", ""W14X61"", ""W10X19"", ""W14X68"", ""W12X50"", ""W14X68"", ""W14X61"", ""W14X61"", ""W14X61"", ""W12X120"", ""W8X10""]","[""W12X120"", ""W14X61"", ""W14X61"", ""W14X61"", ""W14X61"", ""W10X19"", ""W14X90"", ""W12X152"", ""W12X22"", ""W12X120"", ""W14X34"", ""W14X68"", ""W10X19"", ""W14X90"", ""W14X61"", ""W12X120"", ""W8X21"", ""W12X152"", ""W12X50"", ""W14X68"", ""W10X19"", ""W14X61"", ""W12X58"", ""W14X61"", ""W10X19"", ""W14X68"", ""W12X50"", ""W14X68"", ""W14X61"", ""W14X61"", ""W14X61"", ""W12X120"", ""W8X10""]"
r1c2,479.6808080808081,55.29301495575342,660.0,22.89583333333334,25.0,isotropic,cellular,discrete,true,0.0,0.0,"Any[""W12X120"", ""W14X61"", ""W14X61"", ""W14X61"", ""W14X61"", ""W10X19"", ""W14X90"", ""W12X152"", ""W12X22"", ""W12X120"", ""W14X34"", ""W14X68"", ""W10X19"", ""W14X90"", ""W14X61"", ""W12X120"", ""W8X21"", ""W12X152"", ""W12X50"", ""W14X68"", ""W10X19"", ""W14X61"", ""W12X58"", ""W14X61"", ""W10X19"", ""W14X68"", ""W12X50"", ""W14X68"", ""W14X61"", ""W14X61"", ""W14X61"", ""W12X120"", ""W8X10""]","[""W12X120"", ""W12X120"", ""W14X61"", ""W14X61"", ""W14X90"", ""W14X90"", ""W14X90"", ""W12X152"", ""W12X152"", ""W12X152"", ""W14X34"", ""W14X90"", ""W14X90"", ""W14X90"", ""W14X61"", ""W12X152"", ""W12X152"", ""W12X152"", ""W12X50"", ""W14X68"", ""W14X68"", ""W14X68"", ""W12X58"", ""W14X61"", ""W14X68"", ""W14X68"", ""W12X50"", ""W14X68"", ""W14X61"", ""W14X61"", ""W12X120"", ""W12X120"", ""W8X10""]"
r1c2,479.6808080808081,38.98153488496061,660.0,22.89583333333334,25.0,isotropic,cellular,continuous,false,0.0,0.0,"Any[""27.49"", ""15.69"", ""15.57"", ""16.95"", ""15.9"", ""5.51"", ""19.82"", ""38.25"", ""6.39"", ""30.63"", ""7.84"", ""18.68"", ""5.51"", ""22.08"", ""17.28"", ""30.06"", ""6.1"", ""39.04"", ""12.23"", ""17.51"", ""5.51"", ""15.71"", ""15.73"", ""16.88"", ""5.51"", ""19.12"", ""14.33"", ""16.9"", ""15.69"", ""15.69"", ""17.28"", ""27.49"", ""2.88""]","[""27.49"", ""15.69"", ""15.57"", ""16.95"", ""15.9"", ""5.51"", ""19.82"", ""38.25"", ""6.39"", ""30.63"", ""7.84"", ""18.68"", ""5.51"", ""22.08"", ""17.28"", ""30.06"", ""6.1"", ""39.04"", ""12.23"", ""17.51"", ""5.51"", ""15.71"", ""15.73"", ""16.88"", ""5.51"", ""19.12"", ""14.33"", ""16.9"", ""15.69"", ""15.69"", ""17.28"", ""27.49"", ""2.88""]"
r1c2,479.6808080808081,47.65973349837521,660.0,22.89583333333334,25.0,isotropic,cellular,continuous,true,0.0,0.0,"Any[""27.49"", ""15.69"", ""15.57"", ""16.95"", ""15.9"", ""5.51"", ""19.82"", ""38.25"", ""6.39"", ""30.63"", ""7.84"", ""18.68"", ""5.51"", ""22.08"", ""17.28"", ""30.06"", ""6.1"", ""39.04"", ""12.23"", ""17.51"", ""5.51"", ""15.71"", ""15.73"", ""16.88"", ""5.51"", ""19.12"", ""14.33"", ""16.9"", ""15.69"", ""15.69"", ""17.28"", ""27.49"", ""2.88""]","[""27.49"", ""27.49"", ""16.95"", ""16.95"", ""19.82"", ""19.82"", ""19.82"", ""38.25"", ""38.25"", ""38.25"", ""7.84"", ""22.08"", ""22.08"", ""22.08"", ""17.28"", ""39.04"", ""39.04"", ""39.04"", ""12.23"", ""17.51"", ""17.51"", ""17.51"", ""15.73"", ""16.88"", ""19.12"", ""19.12"", ""14.33"", ""16.9"", ""15.69"", ""15.69"", ""27.49"", ""27.49"", ""2.88""]"
r1c3,0.0,0.0,0.0,0.0,25.0,isotropic,cellular,discrete,false,0.0,0.0,Any[],Any[]
r1c3,0.0,0.0,0.0,0.0,25.0,isotropic,cellular,discrete,true,0.0,0.0,Any[],Any[]
